iter	Passed	Remaining
0	0	23
1	0	24
2	0	23
3	0	21
4	1	21
5	1	20
6	1	21
7	1	20
8	2	20
9	2	20
10	2	20
11	2	20
12	2	19
13	3	19
14	3	19
15	3	18
16	3	18
17	4	18
18	4	18
19	4	18
20	4	17
21	5	17
22	5	17
23	5	17
24	5	17
25	5	17
26	6	16
27	6	16
28	6	16
29	7	16
30	7	16
31	7	16
32	7	15
33	8	15
34	8	15
35	8	15
36	8	14
37	9	14
38	9	14
39	9	14
40	9	14
41	9	13
42	10	13
43	10	13
44	10	12
45	10	12
46	11	12
47	11	12
48	11	11
49	11	11
50	11	11
51	12	11
52	12	10
53	12	10
54	12	10
55	12	10
56	13	10
57	13	9
58	13	9
59	14	9
60	15	9
61	15	9
62	15	9
63	15	8
64	16	8
65	16	8
66	16	8
67	16	7
68	17	7
69	17	7
70	17	7
71	17	6
72	17	6
73	18	6
74	18	6
75	18	5
76	18	5
77	19	5
78	19	5
79	19	4
80	19	4
81	20	4
82	20	4
83	20	3
84	20	3
85	21	3
86	21	3
87	21	2
88	21	2
89	22	2
90	22	2
91	22	1
92	22	1
93	23	1
94	23	1
95	23	0
96	23	0
97	24	0
98	24	0
99	24	0
